id,name,smiles,affinity
Halo_Gen1_0119,Rimantadine-Core-ThioEther-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)SC1CCCCC1=O,-7.444
Halo_Gen1_0067,Memantine-Core-Direct-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2C1CCCCC1=O,-7.443
Halo_Gen1_0095,Memantine-Core-ReverseAmide-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2C(=O)NC1CCCCC1=O,-7.386
Halo_Gen1_0032,Adamantane-2-Direct-Hedione-Core,C1C2CC3CC1CC(C2)C3C1CC(=O)C(C1)CC(=O)OC,-7.282
Halo_Gen1_0048,Adamantane-2-Ether-Hedione-Core,C1C2CC3CC1CC(C2)C3OC1CC(=O)C(C1)CC(=O)OC,-7.275
Halo_Gen1_0115,Rimantadine-Core-Ether-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)OC1CCCCC1=O,-7.258
Halo_Gen1_0016,Adamantane-1-Ether-Hedione-Core,C12CC3CC(C1)CC(C3)C2OC1CC(=O)C(C1)CC(=O)OC,-7.226
Halo_Gen1_0023,Adamantane-1-ThioEther-Cyclohexanone,C12CC3CC(C1)CC(C3)C2SC1CCCCC1=O,-7.114
Halo_Gen1_0083,Memantine-Core-Ether-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2OC1CCCCC1=O,-7.114
Halo_Gen1_0055,Adamantane-2-ThioEther-Cyclohexanone,C1C2CC3CC1CC(C2)C3SC1CCCCC1=O,-7.069
Halo_Gen1_0087,Memantine-Core-ThioEther-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2SC1CCCCC1=O,-7.0
Halo_Gen1_0051,Adamantane-2-Ether-Cyclohexanone,C1C2CC3CC1CC(C2)C3OC1CCCCC1=O,-6.86
Halo_Gen1_0003,Adamantane-1-Direct-Cyclohexanone,C12CC3CC(C1)CC(C3)C2C1CCCCC1=O,-6.814
Halo_Gen1_0019,Adamantane-1-Ether-Cyclohexanone,C12CC3CC(C1)CC(C3)C2OC1CCCCC1=O,-6.785
Halo_Gen1_0035,Adamantane-2-Direct-Cyclohexanone,C1C2CC3CC1CC(C2)C3C1CCCCC1=O,-6.517
Halo_Gen1_0126,Rimantadine-Core-ReverseAmide-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)C(=O)NC1CC2(CCC1)OCC(=O)O2,-4.836
Halo_Gen1_0082,Memantine-Core-Ether-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2OC1CC2(CCC1)OCC(=O)O2,3.545
